"","x","y"
"1",340.694394105995,54.4041529146629
"2",343.818070716076,57.0639811097881
"3",262.028516269526,46.2337219419831
"4",303.500874860408,50.2119524917162
"5",287.302008969235,43.2805546423224
"6",279.378662430242,44.2895628323123
"7",206.3980855623,35.5169245805256
"8",360.757851088363,55.922240667283
"9",383.756795022509,61.40096645794
"10",367.920207939124,57.6759415131158
"11",361.354110420686,57.9750657074631
"12",274.92867243139,45.7948101906869
"13",366.103218658968,57.3228809572839
"14",268.51322845883,45.6178924322398
"15",296.449644856185,48.7224641829283
"16",253.598971336768,41.0125357770415
"17",275.874875974398,47.2916546588699
"18",263.306291741688,40.5333435714766
"19",306.196874761116,49.6434810421285
"20",298.910562698014,43.0707100771362
"21",335.181474627717,54.1995013470375
"22",323.11285090888,54.4590842859797
"23",267.061047646856,45.7668260865626
"24",181.487889470752,29.767369341691
"25",289.587506925699,48.2464017289255
